BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201507,13,2055,201507,13,2058,98440,595407,INDIANA,18,2015,July,Thunderstorm Wind,C,113,NOBLE,IWX,7/13/2015 20:55,EST-5,7/13/2015 20:58,0,0,0,0,0.00K,0.00K,State Official,50,EG,,,,,,,,,,1,SW,LIGONIER,1,SW,LIGONIER,41.46,-85.59,41.46,-85.59,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Report of a tree down.,CSV
201507,13,2106,201507,14,106,98440,595409,INDIANA,18,2015,July,Flood,C,75,JAY,IWX,7/13/2015 21:06,EST-5,7/14/2015 1:06,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,0,S,COLLEGE CORNER,1,E,PORTLAND,40.4185,-84.9803,40.4295,-84.9676,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Several side streets flooded.,CSV
201507,13,2105,201507,13,2108,98440,595408,INDIANA,18,2015,July,Thunderstorm Wind,C,3,ALLEN,IWX,7/13/2015 21:05,EST-5,7/13/2015 21:08,0,0,0,0,0.00K,0.00K,Broadcast Media,50,EG,,,,,,,,,,1,NNE,PRAIRIE SWITCH,1,NNE,PRAIRIE SWITCH,41.04,-85.29,41.04,-85.29,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.","Large tree branches and one tree down in the Aboite area, near Homestead High School.",CSV
201507,13,2111,201507,13,2114,98440,595410,INDIANA,18,2015,July,Hail,C,183,WHITLEY,IWX,7/13/2015 21:11,EST-5,7/13/2015 21:14,0,0,0,0,0.00K,0.00K,Fire Department/Rescue,0.88,,,,,,,,,,,2,S,COLUMBIA CITY,2,S,COLUMBIA CITY,41.14,-85.48,41.14,-85.48,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",,CSV
201507,13,2135,201507,14,334,98440,595411,INDIANA,18,2015,July,Flash Flood,C,69,HUNTINGTON,IWX,7/13/2015 21:35,EST-5,7/14/2015 3:34,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,2,WNW,HUNTINGTON,2,NNW,HUNTINGTON,40.8881,-85.5224,40.9094,-85.5042,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Street flooding in Huntington at Business U.S. 24 and Stults Road.,CSV
201507,13,2155,201507,14,330,98440,595412,INDIANA,18,2015,July,Flash Flood,C,69,HUNTINGTON,IWX,7/13/2015 21:55,EST-5,7/14/2015 3:30,0,0,0,0,0.00K,0.00K,Amateur Radio,,,Heavy Rain,,,,,,,,,0,N,ROANOKE,1,NE,ROANOKE,40.9766,-85.3713,40.9751,-85.3629,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Water flowing across U.S. 24 at County Road 900 North and County Road 1000 North. Street flooding visible throughout Roanoke.,CSV
201507,13,2155,201507,14,330,98440,595413,INDIANA,18,2015,July,Flash Flood,C,69,HUNTINGTON,IWX,7/13/2015 21:55,EST-5,7/14/2015 3:30,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,4,NW,ROANOKE,4,NW,ROANOKE,41.01,-85.43,41,-85.429,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Vehicle stranded in water covered roadway. Occupant appears to be safe.,CSV
201507,13,2204,201507,14,330,98440,595414,INDIANA,18,2015,July,Flash Flood,C,69,HUNTINGTON,IWX,7/13/2015 22:04,EST-5,7/14/2015 3:30,0,0,0,0,0.00K,0.00K,Amateur Radio,,,Heavy Rain,,,,,,,,,3,NNE,ROANOKE,2,NNE,ROANOKE,41.01,-85.35,41.0029,-85.3557,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Intersection of State Road 114 and U.S. 24 under 6 to 8 inches of water.,CSV
201507,13,2216,201507,14,330,98440,595416,INDIANA,18,2015,July,Flash Flood,C,69,HUNTINGTON,IWX,7/13/2015 22:16,EST-5,7/14/2015 3:30,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,1,WNW,ROANOKE,1,W,ROANOKE STATION,40.9753,-85.3918,40.948,-85.3916,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.","Swift water was reported by a trained spotter on 4th and 5th Street in Roanoke. Some of the water is going into houses, and some residents are evacuating.",CSV
201507,13,2243,201507,14,330,98440,595417,INDIANA,18,2015,July,Flash Flood,C,179,WELLS,IWX,7/13/2015 22:43,EST-5,7/14/2015 3:30,0,0,0,0,0.00K,0.00K,Trained Spotter,,,Heavy Rain,,,,,,,,,2,NNW,BLUFFTON,2,SW,BLUFFTON,40.7499,-85.187,40.715,-85.1931,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Water over State Road 1 at State Road 116 and State Road 124.,CSV
201507,13,2243,201507,14,330,98440,595418,INDIANA,18,2015,July,Flash Flood,C,179,WELLS,IWX,7/13/2015 22:43,EST-5,7/14/2015 3:30,0,0,0,0,0.00K,0.00K,Trained Spotter,,,Heavy Rain,,,,,,,,,1,NW,OSSIAN,1,NNW,KINGSLAND,40.8853,-85.1798,40.8471,-85.1749,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Fields and roadways have standing and flowing water over them. State Road 1 flooded and impassible south of Ossian.,CSV
201507,13,2315,201507,14,315,98440,595419,INDIANA,18,2015,July,Flash Flood,C,75,JAY,IWX,7/13/2015 23:15,EST-5,7/14/2015 3:15,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,WNW,PORTLAND STEED ARPT,2,ENE,BLAINE,40.4577,-85.005,40.4109,-85.0163,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Multiple roads in downtown Portland and around Jay County are completely flooded.,CSV
201507,18,1840,201507,19,2215,99011,595453,INDIANA,18,2015,July,Flash Flood,C,99,MARSHALL,IWX,7/18/2015 18:40,EST-5,7/19/2015 22:15,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,2,NW,PLYMOUTH,2,SW,PLYMOUTH,41.3645,-86.3453,41.331,-86.346,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.",Extensive road flooding in Plymouth. 2.47 inches of rain in the past one and a half hours.,CSV
201507,18,1903,201507,18,2215,99011,595454,INDIANA,18,2015,July,Flood,C,85,KOSCIUSKO,IWX,7/18/2015 19:03,EST-5,7/18/2015 22:15,0,0,0,0,0.00K,0.00K,NWS Employee,,,Heavy Rain,,,,,,,,,2,SE,OSWEGO,2,SW,BARBEE,41.3,-85.76,41.2794,-85.7449,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.",Reports of water on several roadways around Barbee Lake area. Some roads nearly impassable.,CSV
201507,18,1550,201507,18,1553,99011,595456,INDIANA,18,2015,July,Thunderstorm Wind,C,91,LA PORTE,IWX,7/18/2015 15:50,CST-6,7/18/2015 15:53,0,0,0,0,0.00K,0.00K,Amateur Radio,50,EG,,,,,,,,,,1,S,MICHIGAN CITY,1,S,MICHIGAN CITY,41.71,-86.9,41.71,-86.9,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.",Trees and power lines down in Michigan City.,CSV
201507,18,1743,201507,18,1746,99011,595458,INDIANA,18,2015,July,Thunderstorm Wind,C,141,ST. JOSEPH,IWX,7/18/2015 17:43,EST-5,7/18/2015 17:46,0,0,0,0,0.00K,0.00K,Public,50,EG,,,,,,,,,,2,N,GILMER PARK,2,N,GILMER PARK,41.6285,-86.2971,41.6285,-86.2971,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.",Large tree down on power line at the intersection of Ireland Road and Magnolia Road.,CSV
201507,18,1550,201507,18,1553,99011,595457,INDIANA,18,2015,July,Thunderstorm Wind,C,91,LA PORTE,IWX,7/18/2015 15:50,CST-6,7/18/2015 15:53,0,0,0,0,0.00K,0.00K,NWS Employee,56,EG,,,,,,,,,,2,SSW,MICHIGAN CITY MUNI,2,SSW,MICHIGAN CITY MUNI,41.6571,-86.8957,41.6571,-86.8957,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.","Tree limbs down, with winds estimated at 65 mph on Interstate 94.",CSV
201507,18,1755,201507,18,1758,99011,595459,INDIANA,18,2015,July,Thunderstorm Wind,C,39,ELKHART,IWX,7/18/2015 17:55,EST-5,7/18/2015 17:58,0,0,0,0,0.00K,0.00K,Broadcast Media,50,EG,,,,,,,,,,1,N,JAMESTOWN,1,N,JAMESTOWN,41.64,-86.02,41.64,-86.02,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.",Tree damage reported with power outage.,CSV
201507,18,1758,201507,18,1801,99011,595460,INDIANA,18,2015,July,Thunderstorm Wind,C,39,ELKHART,IWX,7/18/2015 17:58,EST-5,7/18/2015 18:01,0,0,0,0,0.00K,0.00K,Amateur Radio,50,EG,,,,,,,,,,2,NE,ELKHART,2,NE,ELKHART,41.7026,-85.9467,41.7026,-85.9467,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.",Eighteen inch diameter tree down at the intersection of Bristol Street and Osolo Road.,CSV
201507,18,1804,201507,18,1807,99011,595461,INDIANA,18,2015,July,Thunderstorm Wind,C,141,ST. JOSEPH,IWX,7/18/2015 18:04,EST-5,7/18/2015 18:07,0,0,0,0,0.00K,0.00K,Broadcast Media,52,EG,,,,,,,,,,1,W,GLENWOOD,1,W,GLENWOOD,41.67,-86.08,41.67,-86.08,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.","Trees down, with estimated 60 mph winds.",CSV
201507,18,1821,201507,18,1824,99011,595463,INDIANA,18,2015,July,Thunderstorm Wind,C,99,MARSHALL,IWX,7/18/2015 18:21,EST-5,7/18/2015 18:24,0,0,0,0,0.00K,0.00K,Emergency Manager,61,EG,,,,,,,,,,1,WNW,PLYMOUTH MUNI ARPT,1,WNW,PLYMOUTH MUNI ARPT,41.38,-86.32,41.38,-86.32,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.",Trees uprooted into a house just north of Plymouth. Time estimated from radar.,CSV
201507,18,1835,201507,18,1838,99011,595464,INDIANA,18,2015,July,Thunderstorm Wind,C,39,ELKHART,IWX,7/18/2015 18:35,EST-5,7/18/2015 18:38,0,0,0,0,0.00K,0.00K,CoCoRaHS,50,EG,,,,,,,,,,3,ESE,ELKHART MIDWAY ARPT,3,ESE,ELKHART MIDWAY ARPT,41.61,-85.87,41.61,-85.87,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.",Large tree limbs down.,CSV
201507,18,1840,201507,18,1843,99011,595465,INDIANA,18,2015,July,Thunderstorm Wind,C,9,BLACKFORD,IWX,7/18/2015 18:40,EST-5,7/18/2015 18:43,0,0,0,0,0.00K,0.00K,Public,50,EG,,,,,,,,,,0,N,HARTFORD CITY,0,N,HARTFORD CITY,40.45,-85.37,40.45,-85.37,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.",Several trees and power lines down in town.,CSV
201507,18,1905,201507,18,1908,99011,595466,INDIANA,18,2015,July,Thunderstorm Wind,C,9,BLACKFORD,IWX,7/18/2015 19:05,EST-5,7/18/2015 19:08,0,0,0,0,0.00K,0.00K,Trained Spotter,50,EG,,,,,,,,,,0,N,HARTFORD CITY,0,N,HARTFORD CITY,40.45,-85.37,40.45,-85.37,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.",Tree blocking State Road 3 in Hartford City.,CSV
201507,18,1906,201507,18,1909,99011,595467,INDIANA,18,2015,July,Thunderstorm Wind,C,69,HUNTINGTON,IWX,7/18/2015 19:06,EST-5,7/18/2015 19:09,0,0,0,0,0.00K,0.00K,Trained Spotter,50,EG,,,,,,,,,,3,NW,ROANOKE,3,NW,ROANOKE,41,-85.41,41,-85.41,"Weak shortwave trough moving through upper Michigan combined with retreating outflow boundary from morning/early afternoon storms, which moved through northern Indiana/northwest Ohio, spurned new storm development from southern Wisconsin southeast through northeast Illinois by later afternoon. Storms were initially sub-severe and disorganized, but two main bowing segments, one along and north of the Interstate 80/90 corridor and another along the US-30 corridor, developed as cold pool strengthened, causing widespread damaging winds and flooding.",Tree down onto roadway.,CSV
201507,13,2330,201507,14,230,98440,595420,INDIANA,18,2015,July,Flash Flood,C,85,KOSCIUSKO,IWX,7/13/2015 23:30,EST-5,7/14/2015 2:30,0,0,0,0,0.00K,0.00K,NWS Employee,,,Heavy Rain,,,,,,,,,1,SW,VAWTER PARK,1,SSW,VAWTER PARK,41.39,-85.71,41.3824,-85.705,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Water over State Road 13 has traffic restricted to one lane.,CSV
201507,14,118,201507,14,330,98440,595421,INDIANA,18,2015,July,Flash Flood,C,69,HUNTINGTON,IWX,7/14/2015 1:18,EST-5,7/14/2015 3:30,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,1,S,ROANOKE,1,NNE,ROANOKE,40.96,-85.37,40.9775,-85.3649,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.","The town of Roanoke experienced significant flash flooding, with the whole downtown area flooded. One town official estimated 30 homes affected by flood water. There was also a bridge washed out on County Road 1000 North just north of Roanoke.",CSV
201507,13,2206,201507,14,330,98440,595427,INDIANA,18,2015,July,Flash Flood,C,3,ALLEN,IWX,7/13/2015 22:06,EST-5,7/14/2015 3:30,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,3,W,ZANESVILLE,2,W,ZANESVILLE,40.9185,-85.331,40.9148,-85.3202,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.","Indiana State Police reported almost a foot of water over Interstate 69 at the 294 mile marker. Vehicle roll over also reported, with subjects trapped.",CSV
